Date,Name,Ticker,Held,Amount,Price,CAP,Current,Column 1,Budgets,,,,To Buy,,,,,,
 1 - Dec - 24,Aave,AAVE,BSC,250,,,,Y,Segment,Percentage,Amount,,Name,Ticker,Network,Held,Amount,MCAP,
 1 - Dec - 24,Aerodrome,AERO,BASE T,250,,,,Y,Toal budget,100,25000,,Humans.ai,HEART,,,,,
 1 - Dec - 24,Anyone protocol,ANYONE,Coinex,100,,,,Y,Large caps (>10B),45,11250,,AIOZ,AIOZ,,,,,bsc
 1 - Dec - 24,Aptos,APT,APT,750,,,,Y,Mid cap (1-10B),30,7500,,COTI,,,,,,base
 1 - Dec - 24,Arbitrum,ARB,ARB,250,,,,Y,Small cap (10M<1B),16,4000,,NOS,,,,,,
 1 - Dec - 24,Artificial,FET,BSC,300,,,,Y,Ultra small (<10M),8,2000,,PAI,,,,,,
 1 - Dec - 24,Artrade,ATR,Coinex,250,,,,Y,USDT,1,250,,destra,,,,,,
 1 - Dec - 24,Avalanche,AVAX,AVAX C,250,,LCAP,,Y,,,,,0x0,,,,,,
 1 - Dec - 24,BeamX,BEAM,BSC,250,,,,Y,,,,,altura,,,,,,
 1 - Dec - 24,Bertram,BERT,SOL,200,,,,Y,,100,25000,,neural,,,,,,
 1 - Dec - 24,Binance,BNB,BSC,100,,,,Y,,,,,Palm AI,,,,,,
 1 - Dec - 24,Bitcoin,BTC,ARB,1500,,LCAP,,Y,,,,,,,,,,,
 1 - Dec - 24,Bitcoin cash,BCH,BNB,250,,LCAP,,Y,,,,,NEIRO,,,,,,
 1 - Dec - 24,BITTENSOR,TAO,Coinex,250,,LCAP,,Y,,,,,ORDI,,,,,,
 1 - Dec - 24,BONK,BONK,BSC,188,,,,Y,,,,,CRV,,,,,,
 1 - Dec - 24,Brett based,BRETT,BASE T,400,,,,Y,USDT,BSC,302,,CAKE,,,,,,
 1 - Dec - 24,Cardano,ADA,BSC,1700,,LCAP,,Y,USDT,Coinex,1000,,Bome,,,,,,
 1 - Dec - 24,Cetus pro,CETUS,SUI,250,,,,Y,USDT,Sol,800,,Kava,,,,,,
 1 - Dec - 24,Chainlink,LINK,ARB,250,,LCAP,,Y,Principal recovered,BSC,250,,Safe,,,,,,
 1 - Dec - 24,Chillguy,CHILLGUY,Coinex,100,,,,Y,,,2352,,ARKM,,,,,,
 1 - Dec - 24,Clearpool,CPOOL,Coinex,250,,,,Y,,,,,IOTX,,,,,,
 1 - Dec - 24,Comedian,BAN,SOL,50,,,,Y,,,,,Ai16z,,,,,,
 1 - Dec - 24,Coq inu,COQ,AVAX C,189,,,,Y,,,,,PAAL,,,,,,
 1 - Dec - 24,Delysium,AGI,BSC,250,,,,Y,,,,,LCX,,,,,,
 1 - Dec - 24,Dogegov,DOGEGOV,Coinex,100,,,,Y,,,,,HASHAI,,,,,,
 1 - Dec - 24,Dogwifhat,WIF,SOL,180,,,"sol, radium",Y,,Only ETH,Base,,LQTY,,,,,,
 1 - Dec - 24,Echelon,PRIME,Base T,250,,,,Y,,Ondo,Morpho,,SLERF,,,,,,
 1 - Dec - 24,Entangle,ENTANGLE,Coinex,250,,,,Y,,CPOOL,Prime,,ORBS,,,,,,
 1 - Dec - 24,Ether finance,ETHFI,Coinex,250,,,,Y,,,,,DIA,,,,,,
 1 - Dec - 24,Ethereum,ETH,"ARB, ETH",3600,,LCAP,,Y,,,,,zkml,,,,,,
 1 - Dec - 24,Fantom,FTM,Coinex,200,,,,Y,,,,,Kondux,,,,,,
 1 - Dec - 24,Goatseus,GOAT,SOL,100,,,,Y,,,,,Pinlink,,,,,,
 1 - Dec - 24,Graph tkn,GRT,ARB,200,,,,Y,Only Coinex,Solana,Binance,,Aethir,,,,,,
 1 - Dec - 24,HahaYes,RIZO,SOL,200,,,,Y,,Pyth,,,MAVIA,,,,,,
 1 - Dec - 24,Hippo,HIPPO,SUI,250,,,,Y,,,,,SNSY,,,,,,
 1 - Dec - 24,Internet comp,ICP,Coinex,300,,,,Y,,,,,MODE,,,,,,
 1 - Dec - 24,Jupiter,JUP,SOL,250,,,,Y,,,,,NMT,,,,,,
 1 - Dec - 24,Kaspa,KAS,Coinex,250,,,,Y,,,,,FWOG,,,,,,
 1 - Dec - 24,Kima network,KIMA,ARB,200,,,,Y,,,,,Ponke,,,,,,
 1 - Dec - 24,Lido,LDO,ARB,300,,,,Y,,,,,Moonwell,WELL,Base Aero,,,,
 1 - Dec - 24,Lofi,LOGI,SUI,100,,,,Y,,,,,Skimask dog,SKI,,,,,
 1 - Dec - 24,Mantra,OM,POL,350,,,,Y,,,,,SharpeAI,,,,,,
 1 - Dec - 24,Moo deng,MOODENG,SOL,50,,,,Y,,,,,ALGO,,,,,,
 1 - Dec - 24,Morpho finance,MORPHO,Base T,200,,,,Y,,,,,,,,,,,
 1 - Dec - 24,Myria,MYRIA,Coinex,154,,,,Y,,,,,Selfchain,,,,,,
 1 - Dec - 24,Near protocol,NEAR,BSC,500,,,,Y,,,,,Laika AI,,,,,,
 1 - Dec - 24,Notcoin,NOT,Telegram wallet,300,,,,,,,,,Stader,,,,,,
 1 - Dec - 24,Ondo,ONDO,Coinex,350,,,,Y,,,,,CXT,,,,,,
 1 - Dec - 24,Ontology,ONT,Coinex,200,,,,Y,,,,,GraphLink chain,GLQ,,,,,
 1 - Dec - 24,Paysenger,EGO,Coinex,100,,,,Y,,,,,bitscrunch,,,,,,
 1 - Dec - 24,Peaq,PEAQ,Coinex,100,,,,Y,,,,,Credefi,Credi,,,,,
 1 - Dec - 24,Pepe,PEPE,BSC,200,,,,Y,,,,,IOST,,,,,,
 1 - Dec - 24,PeterTod,PETER TODD,SOL,200,,,,Y,,,,,AKT,,,,,,
 1 - Dec - 24,Plena,PLENA,BingX,150,,,,Y,,,,,KAVA,,,,,,
 1 - Dec - 24,Polkadot,DOT,BSC,300,,LCAP,,Y,,,,,SFP,,,,,,
 1 - Dec - 24,Polygon,POL,Binance,250,,,,Y,,,,,,,,,,,
 1 - Dec - 24,Polygon,POL,POL,750,,,,Y,,,,,,,,,,,
 1 - Dec - 24,Popcat,POPCAT,SOL,100,,,"sol, rad",Y,,,,,,,,,,,
 1 - Dec - 24,Prehold,PRE_HOLD,Coinex,200,,,,Y,,,,,,,,,,,
 1 - Dec - 24,Pyth,PYTH,Coinex,125,,,,Y,,,,,,,,,,,
 1 - Dec - 24,Qi,QI,Coinex,100,,,,Y,,,,,,,,,,,
 1 - Dec - 24,Raydium,RAY,SOL,250,,,,Y,,,,,,,,,,,
 1 - Dec - 24,Render,RENDER,POL,350,,,,Y,,,,,,,,,,,
 1 - Dec - 24,Ripple,XRP,BSC,1300,,LCAP,,Y,,,,,,,,,,,
 1 - Dec - 24,Sei,SEI,Coinex,185,,,,Y,,,,,,,,,,,
 1 - Dec - 24,SharpeAI,SAI,Coinex,132,,,,Y,,,,,,,,,,,
 1 - Dec - 24,Shib,SHIB,BSC,750,,LCAP,,Y,,,,,,,,,,,
 1 - Dec - 24,Shrub,SHRUB,Coinex,100,,,,Y,,,,,,,,,,,
 1 - Dec - 24,Solana,SOL,Kucoin,147,,,,Y,,,,,,,,,,,
